euctr_id,title,reg_date,other_id,field,provenance
2016-004825-17,A Proof-of-concept study to investigate the Efficacy of Telbivudine Over Placebo in patients with Parvovirus-associated Inflammatory Cardiomyopathy,2017-11-09,NA,other,protocol
2016-004825-17,A Proof-of-concept study to investigate the Efficacy of Telbivudine Over Placebo in patients with Parvovirus-associated Inflammatory Cardiomyopathy,2017-11-09,NA,US NCT number,results
2016-004825-17,A Proof-of-concept study to investigate the Efficacy of Telbivudine Over Placebo in patients with Parvovirus-associated Inflammatory Cardiomyopathy,2017-11-09,NA,ISRCTN number,results
2016-003828-23,A pilot open-label study to assess the efficacy and safety of tocilizumab (TCZ) in patients with active Schnitzler’s syndrome (SchS) ,2017-01-31,NA,US NCT number,protocol
2016-003828-23,A pilot open-label study to assess the efficacy and safety of tocilizumab (TCZ) in patients with active Schnitzler’s syndrome (SchS) ,2017-01-31,NA,other,protocol
2016-003828-23,A pilot open-label study to assess the efficacy and safety of tocilizumab (TCZ) in patients with active Schnitzler’s syndrome (SchS) ,2017-01-31,NCT03046381,US NCT number,results
2016-003828-23,A pilot open-label study to assess the efficacy and safety of tocilizumab (TCZ) in patients with active Schnitzler’s syndrome (SchS) ,2017-01-31,NA,ISRCTN number,results
2016-002370-12,PROOF OF CONCEPT STUDY OF HYQVIA IN PATIENTS WITH IMMUNOGLOBULIN DEFICIENCY AND RECURRENT INFECTIONS WITH CHRONIC FATIGUE SYNDROME,2016-07-21,NA,US NCT number,protocol
2016-002370-12,PROOF OF CONCEPT STUDY OF HYQVIA IN PATIENTS WITH IMMUNOGLOBULIN DEFICIENCY AND RECURRENT INFECTIONS WITH CHRONIC FATIGUE SYNDROME,2016-07-21,NA,other,protocol
2016-002370-12,PROOF OF CONCEPT STUDY OF HYQVIA IN PATIENTS WITH IMMUNOGLOBULIN DEFICIENCY AND RECURRENT INFECTIONS WITH CHRONIC FATIGUE SYNDROME,2016-07-21,NA,US NCT number,results
2016-002370-12,PROOF OF CONCEPT STUDY OF HYQVIA IN PATIENTS WITH IMMUNOGLOBULIN DEFICIENCY AND RECURRENT INFECTIONS WITH CHRONIC FATIGUE SYNDROME,2016-07-21,NA,ISRCTN number,results
2016-001777-33,EVALUATION OF CEREBRAL THROMBOEMBOLISM AFTER TAVR,2016-06-06,NA,US NCT number,protocol
2016-001777-33,EVALUATION OF CEREBRAL THROMBOEMBOLISM AFTER TAVR,2016-06-06,NA,other,protocol
2016-001777-33,EVALUATION OF CEREBRAL THROMBOEMBOLISM AFTER TAVR,2016-06-06,NCT02758964,US NCT number,results
2016-001777-33,EVALUATION OF CEREBRAL THROMBOEMBOLISM AFTER TAVR,2016-06-06,NA,ISRCTN number,results
2016-000615-33,Comparison of the effect of treatment with NSAIDs added to anti-TNF therapy versus anti-TNF therapy alone on progression of structural damage in the spine over two years in patients with ankylosing spondylitis: a randomized controlled multicentre trial (CONSUL),2016-07-06,NCT02758782,US NCT number,protocol
2016-000615-33,Comparison of the effect of treatment with NSAIDs added to anti-TNF therapy versus anti-TNF therapy alone on progression of structural damage in the spine over two years in patients with ankylosing spondylitis: a randomized controlled multicentre trial (CONSUL),2016-07-06,NA,other,protocol
2016-000615-33,Comparison of the effect of treatment with NSAIDs added to anti-TNF therapy versus anti-TNF therapy alone on progression of structural damage in the spine over two years in patients with ankylosing spondylitis: a randomized controlled multicentre trial (CONSUL),2016-07-06,NCT02758782,US NCT number,results
2016-000615-33,Comparison of the effect of treatment with NSAIDs added to anti-TNF therapy versus anti-TNF therapy alone on progression of structural damage in the spine over two years in patients with ankylosing spondylitis: a randomized controlled multicentre trial (CONSUL),2016-07-06,NA,ISRCTN number,results
2015-005346-58,Tacrolimus after rATG and infliximab induction immunosuppression (RIMINI),2016-08-05,NA,US NCT number,protocol
2015-005346-58,Tacrolimus after rATG and infliximab induction immunosuppression (RIMINI),2016-08-05,NA,other,protocol
2015-005346-58,Tacrolimus after rATG and infliximab induction immunosuppression (RIMINI),2016-08-05,NCT04114188,US NCT number,results
2015-005346-58,Tacrolimus after rATG and infliximab induction immunosuppression (RIMINI),2016-08-05,NA,ISRCTN number,results
2015-001456-29,"A Double-blind, Placebo-controlled, Randomized, Multicenter Proof-of-principle Trial of Adjunctive Minocycline for Patients With Treatment Resistant Unipolar Major Depressive Disorder (MDD)",2015-07-08,NA,US NCT number,protocol
2015-001456-29,"A Double-blind, Placebo-controlled, Randomized, Multicenter Proof-of-principle Trial of Adjunctive Minocycline for Patients With Treatment Resistant Unipolar Major Depressive Disorder (MDD)",2015-07-08,NA,other,protocol
2015-001456-29,"A Double-blind, Placebo-controlled, Randomized, Multicenter Proof-of-principle Trial of Adjunctive Minocycline for Patients With Treatment Resistant Unipolar Major Depressive Disorder (MDD)",2015-07-08,NA,US NCT number,results
2015-001456-29,"A Double-blind, Placebo-controlled, Randomized, Multicenter Proof-of-principle Trial of Adjunctive Minocycline for Patients With Treatment Resistant Unipolar Major Depressive Disorder (MDD)",2015-07-08,NA,ISRCTN number,results
2015-000538-31,NEUORIMPA - Intraarticular Application of Opioids in Chronic Arthritis of the knee joint,2015-04-07,NA,US NCT number,protocol
2015-000538-31,NEUORIMPA - Intraarticular Application of Opioids in Chronic Arthritis of the knee joint,2015-04-07,NA,other,protocol
2015-000538-31,NEUORIMPA - Intraarticular Application of Opioids in Chronic Arthritis of the knee joint,2015-04-07,NA,US NCT number,results
2015-000538-31,NEUORIMPA - Intraarticular Application of Opioids in Chronic Arthritis of the knee joint,2015-04-07,NA,ISRCTN number,results
2015-000465-31,"Cannabidiol in Bipolar Depression – CannaBiD-Study: An 8-week randomized, double-blind, placebo-controlled clinical trial of Cannabidiol as add-on therapy in bipolar depression",2016-03-30,NA,US NCT number,protocol
2015-000465-31,"Cannabidiol in Bipolar Depression – CannaBiD-Study: An 8-week randomized, double-blind, placebo-controlled clinical trial of Cannabidiol as add-on therapy in bipolar depression",2016-03-30,NA,other,protocol
2015-000465-31,"Cannabidiol in Bipolar Depression – CannaBiD-Study: An 8-week randomized, double-blind, placebo-controlled clinical trial of Cannabidiol as add-on therapy in bipolar depression",2016-03-30,NA,US NCT number,results
2015-000465-31,"Cannabidiol in Bipolar Depression – CannaBiD-Study: An 8-week randomized, double-blind, placebo-controlled clinical trial of Cannabidiol as add-on therapy in bipolar depression",2016-03-30,NA,ISRCTN number,results
2014-005344-17,"Oral cannabidivarin (CBDV) solution for treatment of HIV-associated neuropathic pain – a randomized, double-blind, placebo-controlled phase II study.",2015-01-02,NA,US NCT number,protocol
2014-005344-17,"Oral cannabidivarin (CBDV) solution for treatment of HIV-associated neuropathic pain – a randomized, double-blind, placebo-controlled phase II study.",2015-01-02,NA,other,protocol
2014-005344-17,"Oral cannabidivarin (CBDV) solution for treatment of HIV-associated neuropathic pain – a randomized, double-blind, placebo-controlled phase II study.",2015-01-02,NA,US NCT number,results
2014-005344-17,"Oral cannabidivarin (CBDV) solution for treatment of HIV-associated neuropathic pain – a randomized, double-blind, placebo-controlled phase II study.",2015-01-02,NA,ISRCTN number,results
2014-005239-15,Effects of mineralocorticoid receptor stimulation on cognitive bias and social cognition in patients with major depression and healthy controls: what’s the role of NMDA receptors?,2016-02-03,NA,US NCT number,protocol
2014-005239-15,Effects of mineralocorticoid receptor stimulation on cognitive bias and social cognition in patients with major depression and healthy controls: what’s the role of NMDA receptors?,2016-02-03,NA,other,protocol
2014-005239-15,Effects of mineralocorticoid receptor stimulation on cognitive bias and social cognition in patients with major depression and healthy controls: what’s the role of NMDA receptors?,2016-02-03,NCT03062150,US NCT number,results
2014-005239-15,Effects of mineralocorticoid receptor stimulation on cognitive bias and social cognition in patients with major depression and healthy controls: what’s the role of NMDA receptors?,2016-02-03,NA,ISRCTN number,results
2014-004551-32,Daclatasvir plus Sofosbuvir for chronic HCV-infected renal transplant patients – a pilot study of efficacy and safety,2015-08-28,NA,US NCT number,protocol
2014-004551-32,Daclatasvir plus Sofosbuvir for chronic HCV-infected renal transplant patients – a pilot study of efficacy and safety,2015-08-28,NA,other,protocol
2014-004551-32,Daclatasvir plus Sofosbuvir for chronic HCV-infected renal transplant patients – a pilot study of efficacy and safety,2015-08-28,NA,US NCT number,results
2014-004551-32,Daclatasvir plus Sofosbuvir for chronic HCV-infected renal transplant patients – a pilot study of efficacy and safety,2015-08-28,NA,ISRCTN number,results
2014-002392-28,Setmelanotide (RM-493) Treatment Trial in Patients with rare genetic disorders of obesity,2014-08-04,NA,US NCT number,protocol
2014-002392-28,Setmelanotide (RM-493) Treatment Trial in Patients with rare genetic disorders of obesity,2014-08-04,NA,other,protocol
2014-002392-28,Setmelanotide (RM-493) Treatment Trial in Patients with rare genetic disorders of obesity,2014-08-04,NCT02507492,US NCT number,results
2014-002392-28,Setmelanotide (RM-493) Treatment Trial in Patients with rare genetic disorders of obesity,2014-08-04,NA,ISRCTN number,results
2014-001551-22,Reduction of postoperative wound infections by antiseptica,2014-06-18,NA,US NCT number,protocol
2014-001551-22,Reduction of postoperative wound infections by antiseptica,2014-06-18,NA,other,protocol
2014-001551-22,Reduction of postoperative wound infections by antiseptica,2014-06-18,NA,US NCT number,results
2014-001551-22,Reduction of postoperative wound infections by antiseptica,2014-06-18,NA,ISRCTN number,results
2014-000181-21,"Disease activity controlled dose escalating study to assess the efficacy, and safety of treatment with bilastine 20 mg, 40 mg and 80 mg in chronic spontaneous urticaria.",2014-04-23,NA,US NCT number,protocol
2014-000181-21,"Disease activity controlled dose escalating study to assess the efficacy, and safety of treatment with bilastine 20 mg, 40 mg and 80 mg in chronic spontaneous urticaria.",2014-04-23,NA,other,protocol
2014-000181-21,"Disease activity controlled dose escalating study to assess the efficacy, and safety of treatment with bilastine 20 mg, 40 mg and 80 mg in chronic spontaneous urticaria.",2014-04-23,NA,US NCT number,results
2014-000181-21,"Disease activity controlled dose escalating study to assess the efficacy, and safety of treatment with bilastine 20 mg, 40 mg and 80 mg in chronic spontaneous urticaria.",2014-04-23,NA,ISRCTN number,results
2013-005362-19,Therapy of antibody-mediated autoimmune diseases by Bortezomib (TAVAB),2013-12-18,NA,US NCT number,protocol
2013-005362-19,Therapy of antibody-mediated autoimmune diseases by Bortezomib (TAVAB),2013-12-18,NA,other,protocol
2013-005362-19,Therapy of antibody-mediated autoimmune diseases by Bortezomib (TAVAB),2013-12-18,NA,US NCT number,results
2013-005362-19,Therapy of antibody-mediated autoimmune diseases by Bortezomib (TAVAB),2013-12-18,NA,ISRCTN number,results
2013-004130-15,"Investigator-initiated clinical research trial on the effects of 5% Minoxidil topical foam on gene expression, hair growth and scalp microenvironment in men with androgenetic alopecia",2014-03-05,NA,US NCT number,protocol
2013-004130-15,"Investigator-initiated clinical research trial on the effects of 5% Minoxidil topical foam on gene expression, hair growth and scalp microenvironment in men with androgenetic alopecia",2014-03-05,NA,other,protocol
2013-004130-15,"Investigator-initiated clinical research trial on the effects of 5% Minoxidil topical foam on gene expression, hair growth and scalp microenvironment in men with androgenetic alopecia",2014-03-05,NA,US NCT number,results
2013-004130-15,"Investigator-initiated clinical research trial on the effects of 5% Minoxidil topical foam on gene expression, hair growth and scalp microenvironment in men with androgenetic alopecia",2014-03-05,NA,ISRCTN number,results
2013-003601-25,"A multicenter, Double-blind, RandOmised, two arm Parallel group trial to determine the effects of torasemide versus furosemide on one marker (PIP) of cardiac fibrosis in patient with Diastolic Heart Failure and diabetes mellitus type II",2013-11-12,NA,US NCT number,protocol
2013-003601-25,"A multicenter, Double-blind, RandOmised, two arm Parallel group trial to determine the effects of torasemide versus furosemide on one marker (PIP) of cardiac fibrosis in patient with Diastolic Heart Failure and diabetes mellitus type II",2013-11-12,NA,other,protocol
2013-003601-25,"A multicenter, Double-blind, RandOmised, two arm Parallel group trial to determine the effects of torasemide versus furosemide on one marker (PIP) of cardiac fibrosis in patient with Diastolic Heart Failure and diabetes mellitus type II",2013-11-12,NA,US NCT number,results
2013-003601-25,"A multicenter, Double-blind, RandOmised, two arm Parallel group trial to determine the effects of torasemide versus furosemide on one marker (PIP) of cardiac fibrosis in patient with Diastolic Heart Failure and diabetes mellitus type II",2013-11-12,NA,ISRCTN number,results
2013-002409-75,"Intra-individual, comparison of the MRI contrast agents gadoxetic acid (Primovist®) versus gadoterate meglumine (Dotarem®) in liver MRI of patients with HCC and underlying cirrhosis",2013-08-23,NA,US NCT number,protocol
2013-002409-75,"Intra-individual, comparison of the MRI contrast agents gadoxetic acid (Primovist®) versus gadoterate meglumine (Dotarem®) in liver MRI of patients with HCC and underlying cirrhosis",2013-08-23,NA,other,protocol
2013-002409-75,"Intra-individual, comparison of the MRI contrast agents gadoxetic acid (Primovist®) versus gadoterate meglumine (Dotarem®) in liver MRI of patients with HCC and underlying cirrhosis",2013-08-23,NA,US NCT number,results
2013-002409-75,"Intra-individual, comparison of the MRI contrast agents gadoxetic acid (Primovist®) versus gadoterate meglumine (Dotarem®) in liver MRI of patients with HCC and underlying cirrhosis",2013-08-23,NA,ISRCTN number,results
2013-000823-15,Neuroprotection with Dexmedetomidine in patients undergoing elective cardiac or abdominal surgery,2013-11-19,NA,US NCT number,protocol
2013-000823-15,Neuroprotection with Dexmedetomidine in patients undergoing elective cardiac or abdominal surgery,2013-11-19,NA,other,protocol
2013-000823-15,Neuroprotection with Dexmedetomidine in patients undergoing elective cardiac or abdominal surgery,2013-11-19,NCT02096068,US NCT number,results
2013-000823-15,Neuroprotection with Dexmedetomidine in patients undergoing elective cardiac or abdominal surgery,2013-11-19,NA,ISRCTN number,results
2013-000416-24,THE EFFECT OF AZELAIC ACID ON SYMPTOMS OF ACNE IN FEMALE PATIENTS AGE 20-45 WITH MILD TO MODERATE PAPULOPUSTULAR ACNE (ACNE TARDA),2013-04-08,NA,US NCT number,protocol
2013-000416-24,THE EFFECT OF AZELAIC ACID ON SYMPTOMS OF ACNE IN FEMALE PATIENTS AGE 20-45 WITH MILD TO MODERATE PAPULOPUSTULAR ACNE (ACNE TARDA),2013-04-08,NA,other,protocol
2013-000416-24,THE EFFECT OF AZELAIC ACID ON SYMPTOMS OF ACNE IN FEMALE PATIENTS AGE 20-45 WITH MILD TO MODERATE PAPULOPUSTULAR ACNE (ACNE TARDA),2013-04-08,NA,US NCT number,results
2013-000416-24,THE EFFECT OF AZELAIC ACID ON SYMPTOMS OF ACNE IN FEMALE PATIENTS AGE 20-45 WITH MILD TO MODERATE PAPULOPUSTULAR ACNE (ACNE TARDA),2013-04-08,NA,ISRCTN number,results
2012-005726-30,"A multi-center, double-blind placebo-controlled parallel group phase II study of the efficacy and safety of rilonacept in subjects with cold contact urticaria (CCU)",2013-05-29,NA,US NCT number,protocol
2012-005726-30,"A multi-center, double-blind placebo-controlled parallel group phase II study of the efficacy and safety of rilonacept in subjects with cold contact urticaria (CCU)",2013-05-29,NA,other,protocol
2012-005726-30,"A multi-center, double-blind placebo-controlled parallel group phase II study of the efficacy and safety of rilonacept in subjects with cold contact urticaria (CCU)",2013-05-29,NA,US NCT number,results
2012-005726-30,"A multi-center, double-blind placebo-controlled parallel group phase II study of the efficacy and safety of rilonacept in subjects with cold contact urticaria (CCU)",2013-05-29,NA,ISRCTN number,results
2012-005652-42,Biomarkers Of The Humoral Immune Response After Conversion To Belatacept In Comparison To Conventional Immunosuppressive Therapy In Renal Transplant Patients,2013-06-12,NA,US NCT number,protocol
2012-005652-42,Biomarkers Of The Humoral Immune Response After Conversion To Belatacept In Comparison To Conventional Immunosuppressive Therapy In Renal Transplant Patients,2013-06-12,NA,other,protocol
2012-005652-42,Biomarkers Of The Humoral Immune Response After Conversion To Belatacept In Comparison To Conventional Immunosuppressive Therapy In Renal Transplant Patients,2013-06-12,NA,US NCT number,results
2012-005652-42,Biomarkers Of The Humoral Immune Response After Conversion To Belatacept In Comparison To Conventional Immunosuppressive Therapy In Renal Transplant Patients,2013-06-12,NA,ISRCTN number,results
2012-004111-32,"Prospective, open-label, multicentre study on the incidence of Squamous Cell Carcinoma and Actinic Keratoses in solid organ transplant recipients treated with per protocol, cyclic field application of MAL-PDT versus lesion adapted cryotherapy",2012-11-09,NA,US NCT number,protocol
2012-004111-32,"Prospective, open-label, multicentre study on the incidence of Squamous Cell Carcinoma and Actinic Keratoses in solid organ transplant recipients treated with per protocol, cyclic field application of MAL-PDT versus lesion adapted cryotherapy",2012-11-09,NA,other,protocol
2012-004111-32,"Prospective, open-label, multicentre study on the incidence of Squamous Cell Carcinoma and Actinic Keratoses in solid organ transplant recipients treated with per protocol, cyclic field application of MAL-PDT versus lesion adapted cryotherapy",2012-11-09,NA,US NCT number,results
2012-004111-32,"Prospective, open-label, multicentre study on the incidence of Squamous Cell Carcinoma and Actinic Keratoses in solid organ transplant recipients treated with per protocol, cyclic field application of MAL-PDT versus lesion adapted cryotherapy",2012-11-09,NA,ISRCTN number,results
2012-003943-32,Influence of diabetes control on treatment of diabetic macular edema with ranibizumab,2015-03-31,NA,US NCT number,protocol
2012-003943-32,Influence of diabetes control on treatment of diabetic macular edema with ranibizumab,2015-03-31,NA,other,protocol
2012-003943-32,Influence of diabetes control on treatment of diabetic macular edema with ranibizumab,2015-03-31,NA,US NCT number,results
2012-003943-32,Influence of diabetes control on treatment of diabetic macular edema with ranibizumab,2015-03-31,NA,ISRCTN number,results
2012-003882-17,"Effects of modafinil, caffeine and methylphenidate on functional brain activity and cognitive performance in healthy subjects: a randomized, placebo-controlled, double-blind fMRI study.",2013-04-08,NA,US NCT number,protocol
2012-003882-17,"Effects of modafinil, caffeine and methylphenidate on functional brain activity and cognitive performance in healthy subjects: a randomized, placebo-controlled, double-blind fMRI study.",2013-04-08,NA,other,protocol
2012-003882-17,"Effects of modafinil, caffeine and methylphenidate on functional brain activity and cognitive performance in healthy subjects: a randomized, placebo-controlled, double-blind fMRI study.",2013-04-08,NCT02071615,US NCT number,results
2012-003882-17,"Effects of modafinil, caffeine and methylphenidate on functional brain activity and cognitive performance in healthy subjects: a randomized, placebo-controlled, double-blind fMRI study.",2013-04-08,NA,ISRCTN number,results
2012-003621-21,"Prospective phase IIA multicenter double-blinded randomized placebo-controlled clinical trial evaluating the efficacy and safety of inhaled, aerosolized Tobramycin (TOBI®) b.i.d. in patients with ventilator-associated pneumonia (VAP)",2013-06-06,NA,US NCT number,protocol
2012-003621-21,"Prospective phase IIA multicenter double-blinded randomized placebo-controlled clinical trial evaluating the efficacy and safety of inhaled, aerosolized Tobramycin (TOBI®) b.i.d. in patients with ventilator-associated pneumonia (VAP)",2013-06-06,NA,other,protocol
2012-003621-21,"Prospective phase IIA multicenter double-blinded randomized placebo-controlled clinical trial evaluating the efficacy and safety of inhaled, aerosolized Tobramycin (TOBI®) b.i.d. in patients with ventilator-associated pneumonia (VAP)",2013-06-06,NA,US NCT number,results
2012-003621-21,"Prospective phase IIA multicenter double-blinded randomized placebo-controlled clinical trial evaluating the efficacy and safety of inhaled, aerosolized Tobramycin (TOBI®) b.i.d. in patients with ventilator-associated pneumonia (VAP)",2013-06-06,NA,ISRCTN number,results
2012-003217-33,"Immunological response of a single dose of 100,000 I.U. of cholecalciferol (vitamin D3)",2012-08-13,NA,US NCT number,protocol
2012-003217-33,"Immunological response of a single dose of 100,000 I.U. of cholecalciferol (vitamin D3)",2012-08-13,NA,other,protocol
2012-003217-33,"Immunological response of a single dose of 100,000 I.U. of cholecalciferol (vitamin D3)",2012-08-13,NA,US NCT number,results
2012-003217-33,"Immunological response of a single dose of 100,000 I.U. of cholecalciferol (vitamin D3)",2012-08-13,NA,ISRCTN number,results
2012-000443-27,Determination of the penetration of antibiotics into epithelial lining fluid during continuous infusion in mechanically ventilated ICU patients: example meropenem,2012-03-19,NA,US NCT number,protocol
2012-000443-27,Determination of the penetration of antibiotics into epithelial lining fluid during continuous infusion in mechanically ventilated ICU patients: example meropenem,2012-03-19,NA,other,protocol
2012-000443-27,Determination of the penetration of antibiotics into epithelial lining fluid during continuous infusion in mechanically ventilated ICU patients: example meropenem,2012-03-19,NA,US NCT number,results
2012-000443-27,Determination of the penetration of antibiotics into epithelial lining fluid during continuous infusion in mechanically ventilated ICU patients: example meropenem,2012-03-19,NA,ISRCTN number,results
2012-000411-91,"Monitoring natural killer cells in multiple sclerosis patients treated with fingolimod: a monocentric, prospective, one year, baseline-to-treatment, open-label, single group pilot trial",2012-12-04,NA,US NCT number,protocol
2012-000411-91,"Monitoring natural killer cells in multiple sclerosis patients treated with fingolimod: a monocentric, prospective, one year, baseline-to-treatment, open-label, single group pilot trial",2012-12-04,NA,other,protocol
2012-000411-91,"Monitoring natural killer cells in multiple sclerosis patients treated with fingolimod: a monocentric, prospective, one year, baseline-to-treatment, open-label, single group pilot trial",2012-12-04,NA,US NCT number,results
2012-000411-91,"Monitoring natural killer cells in multiple sclerosis patients treated with fingolimod: a monocentric, prospective, one year, baseline-to-treatment, open-label, single group pilot trial",2012-12-04,NA,ISRCTN number,results
2012-000188-25,Lormetazepam versus Midazolam used as sedatives for critically ill patients.,2013-03-14,NCT02022592,US NCT number,protocol
2012-000188-25,Lormetazepam versus Midazolam used as sedatives for critically ill patients.,2013-03-14,NA,other,protocol
2012-000188-25,Lormetazepam versus Midazolam used as sedatives for critically ill patients.,2013-03-14,NCT02022592,US NCT number,results
2012-000188-25,Lormetazepam versus Midazolam used as sedatives for critically ill patients.,2013-03-14,NA,ISRCTN number,results
2011-005615-87,"A multicenter, randomized, double-blind, placebo-controlled 12-week, parallel-group study with a 6 week follow up period to demonstrate efficacy and safety of subcutaneous Omalizumab in patients with urticaria factitia refractory to standard treatment",2012-07-24,NA,US NCT number,protocol
2011-005615-87,"A multicenter, randomized, double-blind, placebo-controlled 12-week, parallel-group study with a 6 week follow up period to demonstrate efficacy and safety of subcutaneous Omalizumab in patients with urticaria factitia refractory to standard treatment",2012-07-24,NA,other,protocol
2011-005615-87,"A multicenter, randomized, double-blind, placebo-controlled 12-week, parallel-group study with a 6 week follow up period to demonstrate efficacy and safety of subcutaneous Omalizumab in patients with urticaria factitia refractory to standard treatment",2012-07-24,NA,US NCT number,results
2011-005615-87,"A multicenter, randomized, double-blind, placebo-controlled 12-week, parallel-group study with a 6 week follow up period to demonstrate efficacy and safety of subcutaneous Omalizumab in patients with urticaria factitia refractory to standard treatment",2012-07-24,NA,ISRCTN number,results
2011-004944-23,,2011-12-05,NA,US NCT number,protocol
2011-004944-23,,2011-12-05,NA,other,protocol
2011-004944-23,,2011-12-05,NA,US NCT number,results
2011-004944-23,,2011-12-05,NA,ISRCTN number,results
2011-004787-30,Modification of the visual outcome after optic neuritis in CIS or MS by Gilenya®,2012-07-13,NA,US NCT number,protocol
2011-004787-30,Modification of the visual outcome after optic neuritis in CIS or MS by Gilenya®,2012-07-13,NA,other,protocol
2011-004787-30,Modification of the visual outcome after optic neuritis in CIS or MS by Gilenya®,2012-07-13,NA,US NCT number,results
2011-004787-30,Modification of the visual outcome after optic neuritis in CIS or MS by Gilenya®,2012-07-13,NA,ISRCTN number,results
2011-004585-15,"Single –arm, multicenter phase-II trial for catumaxomab and chemotherapy in patients with recurrent ovarian cancer to investigate the feasibility and clinical activity of initial intraperitoneal catumaxomab followed by chemotherapy regimes",2012-09-06,NA,US NCT number,protocol
2011-004585-15,"Single –arm, multicenter phase-II trial for catumaxomab and chemotherapy in patients with recurrent ovarian cancer to investigate the feasibility and clinical activity of initial intraperitoneal catumaxomab followed by chemotherapy regimes",2012-09-06,NA,other,protocol
2011-004585-15,"Single –arm, multicenter phase-II trial for catumaxomab and chemotherapy in patients with recurrent ovarian cancer to investigate the feasibility and clinical activity of initial intraperitoneal catumaxomab followed by chemotherapy regimes",2012-09-06,NA,US NCT number,results
2011-004585-15,"Single –arm, multicenter phase-II trial for catumaxomab and chemotherapy in patients with recurrent ovarian cancer to investigate the feasibility and clinical activity of initial intraperitoneal catumaxomab followed by chemotherapy regimes",2012-09-06,NA,ISRCTN number,results
