euctr_id,title,member_state,trial_status,sponsor_name,sponsor_status,sponsor_country,funder,reg_date,row
2013-000416-24,THE EFFECT OF AZELAIC ACID ON SYMPTOMS OF ACNE IN FEMALE PATIENTS AGE 20-45 WITH MILD TO MODERATE PAPULOPUSTULAR ACNE (ACNE TARDA),Germany - BfArM,Completed,"Charité-Universitätsmedizin Berlin, Department of Dermatology, Clinical Research Center for Hair and Skin Science",Non-Commercial,Germany,European Centre for Allergy Research Foundation,2013-04-08,1
2012-005726-30,"A multi-center, double-blind placebo-controlled parallel group phase II study of the efficacy and safety of rilonacept in subjects with cold contact urticaria (CCU)",Germany - PEI,Completed,Charité - Universitätsmedizin,Non-Commercial,Germany,"Regeneron Pharmaceuticals, Inc",2013-05-29,1
2012-005652-42,Biomarkers Of The Humoral Immune Response After Conversion To Belatacept In Comparison To Conventional Immunosuppressive Therapy In Renal Transplant Patients,Germany - PEI,Completed,"Charité, Universitätsmedizin Berlin",Non-Commercial,Germany,Bristol-Myers Squibb GmbH & Co. KGaA,2013-06-12,1
2012-004111-32,"Prospective, open-label, multicentre study on the incidence of Squamous Cell Carcinoma and Actinic Keratoses in solid organ transplant recipients treated with per protocol, cyclic field application of MAL-PDT versus lesion adapted cryotherapy",Germany - BfArM,Prematurely Ended,Charité Universitätsmedizin Berlin,Non-Commercial,Germany,Galderma International SAS,2012-11-09,1
2012-003943-32,Influence of diabetes control on treatment of diabetic macular edema with ranibizumab,Germany - PEI,Prematurely Ended,Charité University Medicine Berlin,Non-Commercial,Germany,Charité University Medicine Berlin,2015-03-31,1
2012-003882-17,"Effects of modafinil, caffeine and methylphenidate on functional brain activity and cognitive performance in healthy subjects: a randomized, placebo-controlled, double-blind fMRI study.",Germany - BfArM,Completed,Charité Universitaetsmedizin Berlin,Non-Commercial,Germany,Volkswagen Foundation,2013-04-08,1
2012-003621-21,"Prospective phase IIA multicenter double-blinded randomized placebo-controlled clinical trial evaluating the efficacy and safety of inhaled, aerosolized Tobramycin (TOBI®) b.i.d. in patients with ventilator-associated pneumonia (VAP)",Germany - BfArM,Completed,Charité University Hospital Berlin,Non-Commercial,Germany,Novartis Pharma GmbH,2013-06-06,1
2012-003217-33,"Immunological response of a single dose of 100,000 I.U. of cholecalciferol (vitamin D3)",Germany - BfArM,Completed,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,HEYL Chem.-pharm. Fabrik GmbH & Co. KG,2012-08-13,1
2012-000443-27,Determination of the penetration of antibiotics into epithelial lining fluid during continuous infusion in mechanically ventilated ICU patients: example meropenem,Germany - BfArM,Prematurely Ended,"Dept. of Anesthesiology and Intensive Care, Charité - Campus Benjamin Franklin",Non-Commercial,Germany,"Dept. of Anesthesiology and Intensive Care, Charité - Campus Benjamin Franklin",2012-03-19,1
2012-000411-91,"Monitoring natural killer cells in multiple sclerosis patients treated with fingolimod: a monocentric, prospective, one year, baseline-to-treatment, open-label, single group pilot trial",Germany - BfArM,Completed,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,Charité - Universitätsmedizin Berlin,2012-12-04,1
2012-000188-25,Lormetazepam versus Midazolam used as sedatives for critically ill patients.,Germany - BfArM,Completed,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,Charité - Universitätsmedizin Berlin,2013-03-14,1
2011-005615-87,"A multicenter, randomized, double-blind, placebo-controlled 12-week, parallel-group study with a 6 week follow up period to demonstrate efficacy and safety of subcutaneous Omalizumab in patients with urticaria factitia refractory to standard treatment",Germany - PEI,Completed,"Allergie-Centrum-Charité, Charité - Universitätsmedizin Berlin",Non-Commercial,Germany,Novartis Pharma,2012-07-24,1
2011-004944-23,,Germany - BfArM,Prematurely Ended,Charité Universitätsmedizin,Non-Commercial,Germany,Atellas Pharma GmbH,2011-12-05,1
2011-004787-30,Modification of the visual outcome after optic neuritis in CIS or MS by Gilenya®,Germany - BfArM,Prematurely Ended,Charite Universitaetsmedizin Berlin,Non-Commercial,Germany,Charite Universitaetsmedizin Berlin,2012-07-13,1
2011-004585-15,"Single –arm, multicenter phase-II trial for catumaxomab and chemotherapy in patients with recurrent ovarian cancer to investigate the feasibility and clinical activity of initial intraperitoneal catumaxomab followed by chemotherapy regimes",Germany - PEI,Prematurely Ended,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,Fresenius Biotech GmbH,2012-09-06,1
2011-004463-69,Investigation of Radiation Retinopathy (RadiRet Study),Germany - PEI,Prematurely Ended,Charité – University Medicine Berlin,Non-Commercial,Germany,Novartis Pharma,2012-08-03,1
2011-004393-28,"""Effectiveness of leech therapy in treatment of chronic low back pain - a randomised controlled clinical study""",Germany - BfArM,Completed,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,Karl und Veronika Carstens Stiftung Essen,2011-12-09,1
2011-004094-93,"Double-blind, three-way cross-over, placebo controlled study to assess the efficacy, safety and mechanisms of treatment with rupatadine 20 and 40mg in cold contact urticaria (CCU)",Germany - BfArM,Completed,Allergie-Centrum Charité,Non-Commercial,Germany,"J. Uriach Cia., S.A.",2012-01-27,1
2011-004094-93,"Double-blind, three-way cross-over, placebo controlled study to assess the efficacy, safety and mechanisms of treatment with rupatadine 20 and 40 mg in cold contact urticaria (CCU)",Spain - AEMPS,Completed,Consorci Mar Parc de Salut de Barcelona,Non-Commercial,Spain,"J. Uriach y Compañía, S.A.",2012-02-21,2
2011-003746-41,"A two-center, double blind, placebo-controlled study in parallel design to assess the efficacy and safety of 150 and 300 mg omalizumab in subjects with antihistamine-resistant cold contact urticaria (CCU)",Germany - PEI,Prematurely Ended,"Allergie-Centrum-Charité, Department of Dermatology and Allergy, Charité - Universitätsmedizin Berlin",Non-Commercial,Germany,Novartis Pharma,2011-11-28,1
2011-002785-20,Efficacy of Vitamin D Supplementation in relapsing-remitting Multiple Sclerosis,Germany - BfArM,Prematurely Ended,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,Charité - Universitätsmedizin Berlin,2011-08-11,1
2011-001689-16,"Prospective randomized, double-blind, and placebo-controlled clinical trial with hydroxychloroquine (HCQ) in patients with erosive-inflammatory osteoarthritis (OA) of the finger joints (acronym: OA TREAT)",Germany - BfArM,Completed,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,Federal Ministry of Education and Research,2013-02-04,1
2011-001474-25,"A single-centre, single arm, open-label, exploratory trial of Interleukin-2 administered subcutaneously as neo-adjuvant treatment prior to sentinel lymph node biopsy(SLNB)/complete lymph node dissection (CLND) in subjects with stage III malignant melanoma",Germany - BfArM,Prematurely Ended,"Klinik für Dermatologie, Venerologie und Allergologie; Charité - Universitätsmedizin Berlin",Non-Commercial,Germany,"AG Voit (Research fund, administered by Prof. Christiane Voit)",2011-09-20,1
2011-001403-12,Carbon Dioxide for the Treatment of Febrile Seizures,Germany - BfArM,Prematurely Ended,Charite Universitaetsmedizin Berlin,Non-Commercial,Germany,Charite Universitaetsmedizin Berlin - NeuroCure,2011-10-28,1
2011-001398-19,D-cycloserine augmented exposure therapy in patients with agoraphobia,Germany - BfArM,Completed,Charité Universitätsmedizin Berlin,Non-Commercial,Germany,NA,2011-05-30,1
2011-001232-27,Characterization of human peripheral and intestinal T-cell responses after mucosal antigen exposure: induction of tolerance vs. immunization by oral administration of KLH,Germany - BfArM,Completed,Charité Universitaetsmedizin Berlin,,Germany,NA,2011-12-27,1
2011-001027-20,"A Multi-Centre, Placebo-Controlled Phase II Study of Canakinumab for the Treatment of Adult-onset Still's disease (AOSD) including an open-label long term extension.",Germany - PEI,Prematurely Ended,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,Novartis Pharma GmbH,2011-12-05,1
2011-000844-56,"UsTekinumab for the treatment Of Patients with active Ankylosing Spondylitis (TOPAS) – a 28-week, prospective, open-label, proof-of-concept study",Germany - PEI,Completed,Charité Universitätsmedizin Berlin,Non-Commercial,Germany,Janssen-Cilag,2011-06-09,1
2010-024379-15,"Pazopanib with 5-Flourouracil, Leucovorin and Oxaliplatin (FLO) as 1st-line treatment in advanced gastric cancer; a randomized Phase II study. - The PaFLO study.",Germany - BfArM,Completed,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,Charité - Universitätsmedizin Berlin,2011-07-20,1
2010-024156-28,"A multi-center, double-blind, placebo-controlled phase II study of the efficacy and safety of canakinumab in subjects with Schnitzler syndrome",Germany - PEI,Completed,Charité - University Hospital of Berlin,Non-Commercial,Germany,Novartis Pharma GmbH,2011-04-07,1
2010-023941-31,Effects of EGCG (Epigallocatechin Gallate) in Chorea Huntington,Germany - BfArM,Completed,Charité Universitätsmedizin Berlin,Non-Commercial,Germany,Charité Universitätsmedizin Berlin,2011-03-17,1
2010-023044-32,Mechanisms of action in exposure therapy: Decoding the neural basis of fear extinction and its pharmacological modulation in patients with panic disorder,Germany - BfArM,Completed,Charité Universitaetsmedizin Berlin,Non-Commercial,Germany,NA,2011-03-21,1
2010-021861-62,Baclofen for the Treatment of Alcohol Dependence,Germany - BfArM,Completed,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,NA,2010-09-16,1
2010-021775-80,Explorative Untersuchung zum Einfluss der Vitamin D-vermitteltenr Modulation der initialen subkutanen Gräserpollen-spezifischen Immuntherapie bei Allergikern mit Gräserpollen-induzierter Rhinokonjunktivitis mit/ohne allergischem Asthma,Germany - PEI,Completed,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,NA,2010-09-14,1
2010-021604-16,"A double-blind, randomized, placebo controlled study to evaluate the effectiveness of etoricoxib as an additive analgesic to epidural analgesia in colon or rectum fast-track surgery",Germany - BfArM,Prematurely Ended,Charité Universitätsmedizin Berlin,Non-Commercial,Germany,Charité Universitätsmedizin Berlin,2010-10-13,1
2010-021275-92,"Single center, open-label, cross-over study in maintenace kidney allograft recipients to evaluate the bioavailability of CellCept® (Mycophenolate mofetil) in comparison to Myfortic® (Enteric- coated mycophenolate sodium) in combination with a proton pump inhibitor without co-medication.",Germany - BfArM,Completed,Charité – Universitätsmedizin Berlin,Non-Commercial,Germany,NA,2010-10-01,1
2010-021001-21,"An exploratory, randomised, double-blind, placebo controlled crossover study to assess the efficacy of 20 mg Rupatadine on the treatment of mastocytosis symptoms",Germany - BfArM,Completed,Allergie-Centrum-Charité,Non-Commercial,Germany,NA,2010-06-16,1
2010-020480-21,Feasibility and efficacy of adjuvant gemcitabine chemotherapy after liver transplantation for proximal bile duct cancer,Germany - BfArM,Completed,Universitätsmedizin Charite,Non-Commercial,Germany,NA,2010-07-28,1
2010-020433-13,"Eine 8-wöchige, monozentrische, baseline-kontrollierte offene Studie zur Evaluierung des Einflusses einer “Single pill combination” auf die Blutdrucksenkung bei Patienten mit nicht-kontrolliertem Blutdruck unter freier Therapie",Germany - BfArM,Prematurely Ended,Charité-Universitätsmedizin Berlin,Non-Commercial,Germany,NA,2010-11-26,1
2010-020063-21,"“A 20-week open-label study to assess the efficacy and safety of single doses of Ilaris® (Canakinumab, ACZ885) in patients with active, refractory urticarial vasculitis”",Germany - PEI,Completed,Charité-Universitätsmedizin,Non-Commercial,Germany,NA,2010-05-21,1
2010-019347-18,"Randomized Phase II Study of two different Regimens of TPF Induction Chemotherapy Regimen followed by Radiation Therapy plus cetuximab (TPF-CET-HART) vs. HART and Cisplatinum, 5-FU (PF-HART) in Patients with Locally Advanced Unresectable Squamous Cell Carcinomas of the Head and Neck.",Germany - BfArM,Completed,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,NA,2010-04-20,1
2010-019344-39,"Double-blind, triple cross-over, placebo-controlled study to assess the efficacy, mechanisms, and safety of treatment with bilastine 20 mg, 40 mg and 80 mg in cold contact urticaria (CCU) Compound: Bilastine",Germany - BfArM,Completed,Charité Universitätsmedizin Berlin,Non-Commercial,Germany,NA,2010-04-15,1
2010-019218-26,Offene Verträglichkeitsstudie zur Evaluierung einer subkutanen Injektionslösung von 100 mg Anakinra in Kombination mit Riluzol bei Patienten mit Amyotropher Lateralsklerose (ALS).,Germany - BfArM,Completed,Charité - University Hospital of Berlin,Non-Commercial,Germany,NA,2010-12-22,1
2010-018291-25,"INVESTIGATOR-INITIATED, DOUBLE BLIND, TWO-ARMED, PLACEBO-CONTROLLED, RANDOMIZED CLINICAL TRIAL WITH AN OPEN-LABEL EXTENSION PHASE, TO INVESTIGATE EFFICACY OF 5% MINOXIDIL TOPICAL FOAM TWICE DAILY IN MEN WITH ANDROGENETIC ALOPECIA IN THE TEMPLE AND VERTEX REGION CONCERNING HAIR VOLUME OVER 24 / 104 WEEKS",Germany - BfArM,Completed,"Charité-Universitätsmedizin Berlin, Klinik für Dermatologie, Venerologie und Allergologie, CRC",Non-Commercial,Germany,"Medical grant application, Johnson & Johnson Consumer Co Inc",2010-06-24,1
2009-017739-17,Assessment of myocardial viability in MRI: Comparison of Late Gadolinium Enhancement with Gadovist vs. Magnevist vs. Dotarem,Germany - BfArM,Completed,Charité,Non-Commercial,Germany,NA,2010-01-04,1
2009-017581-22,Cognitive impairment in bipolar disorder treated with aripiprazole,Germany - BfArM,Completed,"Department of Psychiatry and Psychotherapy, Charity University Medicine",Non-Commercial,Germany,NA,2010-12-07,1
2009-017458-11,"Homeopathy for Depression: a randomized, four-armed, partial double-blind study.",Germany - BfArM,Prematurely Ended,"Institute for Social Medicine, Epidemiology, and Health Economics, Charité Berlin",Non-Commercial,Germany,NA,2010-03-24,1
2009-016907-41,"Investigation of nociceptive and antinociceptive mechanisms under anesthesia using fMRI, EEG and noxious reflexes",Germany - BfArM,Completed,"Charité, Universitätsmedizin Berlin",Non-Commercial,Germany,Deutsche Forschungsgemeinschaft,2012-08-13,1
2009-016482-28,SUNIMUD - Sunphenon EGCg (Epigallocatechin-Gallate) in Duchenne Muscular Dystrophy,Germany - BfArM,Prematurely Ended,Charite Universitätsmedizin Berlin,Non-Commercial,Germany,aktion benni & co.,2010-03-15,1
2009-016043-19,Impact of a balanced infusion solution compound of 50% cristalloid and 50% colloid versus a unbalanced infusion solution of 100% cristalloid within a goal-directed hemodynamic protocol on acid-base balance in patients undergoing elective hip replacement surgery,Germany - BfArM,Completed,Charité – University Medicine Berlin,Non-Commercial,Germany,NA,2010-02-09,1
2009-015319-41,Trichuris suis Oozyten (TSO®) in remittent-recurrent Multiple Sclerosis (MS) and Clinically Isolated Syndrom (CIS),Germany - BfArM,Prematurely Ended,Charite Universitätsmedizin Berlin,Non-Commercial,Germany,Charité - Universitätsmedizin Berlin,2011-02-04,1
2009-014300-55,"Phase II study on the combined systemic and intrathecal chemotherapy with methotrexate, ifosfamide and liposomal cytarabine (DepoCyte®) in patients with HER-2/neu-negative breast cancer and leptomeningeal spread",Germany - BfArM,Prematurely Ended,Charité-Universitätsmedizin Berlin,Non-Commercial,Germany,NA,2009-12-10,1
2009-013976-38,Phase II Trial of low-dose Sandimmun Optoral ® (Cyclosporine A) for the treatment of primary Sjögren's syndrome (pSS),Germany - BfArM,Completed,"Charité Berlin, Department of rheumatology",Non-Commercial,Germany,NA,2009-12-07,1
2009-013458-33,Modulation of Cytochrome-P450 dependent eicosanoid formation by treatment with omega-3 PUFA (Omacor®),Germany - BfArM,Completed,Charité Universitätsmedizin Berlin,Non-Commercial,Germany,NA,2009-09-21,1
2009-013432-20,"Intra-individual, randomized comparison of the MRI contrast agents gadobutrol versus gadoterate meglumine in breast MR imaging",Germany - BfArM,Completed,Charité Campus Mitte,Non-Commercial,Germany,NA,2009-06-22,1
2009-011922-33,"A randomized, double-blind, placebo controlled, multicenter Phase II study to assess the efficacy and safety of Sorafenib added to standard treatment with Topotecan in patients with platinum-resistant recurrent ovarian cancer",Germany - BfArM,Completed,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,NA,2009-10-14,1
2009-009656-20,Sunphenon EGCg (Epigallocatechin-Gallat) in the early stage of Alzheimer´s Disease,Germany - BfArM,Prematurely Ended,Charite Universitaetsmedizin Berlin,Non-Commercial,Germany,NA,2009-03-13,1
2009-009476-12,Non-invasive detection of prostate cancer using functional MRI in patients with histopathologically confirmed prostate cancer before prostatectomy,Germany - BfArM,Completed,"Charité Campus Mitte, Instituts für Radiologie",Non-Commercial,Germany,NA,2009-05-28,1
2008-008474-31,Nutzen des Placeboeffektes bei atopischer Dermatitis - Steigerung der pharmakologischen Wirkung bei Juckreiz durch Klassische Konditionierung und Erwartungsprozesse: Eine randomisierte kontrollierte Studie,Germany - BfArM,Completed,Charité Berlin,Non-Commercial,Germany,NA,2009-06-26,1
2008-008232-87,Open-label phase II study of sorafenib in patients with advanced hepatocellular carcinoma (HCC) and Child Pugh score B with special analysis of patients 65 years or older,Germany - BfArM,Prematurely Ended,Charite Universitätsmedizin Berlin- Campus Virchow-Klinikum,Non-Commercial,Germany,NA,2009-03-09,1
2008-007237-47,Perioperative physostigmine prophylaxis for liver resection patients at risk for delirium and postoperative cognitive dysfunction,Germany - BfArM,Prematurely Ended,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,Charité - Universitätsmedizin Berlin,2008-11-19,1
2008-007031-41,"Beta-Blocker in Acute Ischemic Stroke – a prospective, randomized, double-blinded, placebo-controlled safety and efficacy trial of early treatment",Germany - BfArM,Prematurely Ended,Center for Stroke Research Berlin - Charité Universitätsmedizin Berlin,Non-Commercial,Germany,NA,2009-09-14,1
2008-006135-12,Balanced crystalloids versus balanced colloids within a goal-directed hemodynamic protocol in patients undergoing gynaecological tumor resection.,Germany - BfArM,Completed,Charité- University Medicine Berlin,Non-Commercial,Germany,NA,2008-11-11,1
2008-005786-60,"A prospective, multicentre trial on the value of 18F-FET PET in the post-therapeutic evaluation of childhood brain tumours",Germany - BfArM,Prematurely Ended,Charité Universitaetsmedizin Berlin,Non-Commercial,Germany,Deutsche Kinderkrebsstiftung,2014-01-14,1
2008-005746-22,"Multi-center, double blind, dose escalating study to compare the effects of 5 mg, 10mg and 20mg of Desloratadine in patients with acquired cold urticaria (ACU)",Germany - BfArM,Completed,"Allergie-Centrum-Charite, Department of Dermatology, Charite - Universitätsmedizin Berlin",Non-Commercial,Germany,NA,2009-01-26,1
2008-005451-23,"Vergleichende, randomisierte, kontrollierte und doppelblinde In-situ-Studie zur Wirkung von Speichelersatzmitteln auf Schmelz und Dentin",Germany - BfArM,Prematurely Ended,"Charité - Universitätsmedizin Berlin, CharitéCentrum 3 für Zahn-, Mund- und Kieferheilkunde",Non-Commercial,Germany,NA,2009-01-26,1
2008-005213-22,SUPREMES - Sunphenon in progressive forms of multiple sclerosis,Germany - BfArM,Completed,Charite Universitätsmedizin Berlin,Non-Commercial,Germany,NA,2008-08-22,1
2008-005167-33,Effect of gabapentine as symptomatic therapy for cerebellar ataxia in degenerative and inflammatory CNS-disease,Germany - BfArM,Completed,Charité University Medicine Berlin,Non-Commercial,Germany,NA,2010-03-16,1
2008-004182-26,"Antidepressive efficacy, safety, tolerability and genetic response predictors of lithium augmentation in Escitalopram-treated patients with major depression",Germany - BfArM,Completed,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,NA,2009-02-02,1
2008-003256-29,Effect of Methylnaltrexone on Postoperative Analgesic Demands,Germany - BfArM,Completed,Charité – Universitätsmedizin Berlin,Non-Commercial,Germany,International Anesthesia Research Society,2009-01-20,1
2008-002226-11,Randomized Controlled Trial of Simvastatin in Amnestic MCI Patients,Germany - BfArM,Completed,Charité - Unversitätsmedizin Berlin,Non-Commercial,Germany,Bundesministerium für Bildung und Forschung,2008-09-03,1
2008-001849-26,"Multicentre, open phase II trial to evaluate safety and efficacy of a perioperative chemotherapy with docetaxel, cisplatin and capecitabin in patients suffering from adenocarcinoma of the stomach, gastroesophageal junction or distal esophagus.",Germany - BfArM,Prematurely Ended,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,NA,2008-07-29,1
