euctr_id,title,member_state,trial_status,sponsor_name,sponsor_status,sponsor_country,funder,reg_date
2005-005362-36,"A PROSPECTIVE RANDOMISED, OPEN-LABELED, TRIAL COMPARING SIROLIMUS-CONTAINING VERSUS mTOR-INHIBITOR-FREE IMMUNOSUPRESSION IN PATIENTS UNDERGOING LIVER TRANSPLANTATION FOR HEPATOCELLULAR CARCINOMA",Finland - Fimea,Completed,Regensburg University Hospital,Non-Commercial,Germany,NA,2006-04-07
2005-005362-36,"A PROSPECTIVE RANDOMISED, OPEN-LABELED, TRIAL COMPARING SIROLIMUS-CONTAINING VERSUS mTOR-INHIBITOR-FREE IMMUNOSUPRESSION IN PATIENTS UNDERGOING LIVER TRANSPLANTATION FOR HEPATOCELLULAR CARCINOMA",UK - MHRA,Completed,Regensburg University Hospital,Non-Commercial,Germany,NA,2006-04-20
2005-005362-36,"A PROSPECTIVE RANDOMISED, OPEN-LABELED, TRIAL COMPARING SIROLIMUS-CONTAINING VERSUS mTOR-INHIBITOR-FREE IMMUNOSUPRESSION IN PATIENTS UNDERGOING LIVER TRANSPLANTATION FOR HEPATOCELLULAR CARCINOMA",Sweden - MPA,Completed,Regensburg University Hospital,Non-Commercial,Germany,NA,2006-04-21
2005-005362-36,"A prospective randomised, open-labelled, trial comparing sirolimus- containing versus mTor-Inhibitor-free immunosuppression in patients undergoing liver transplantation for hepatocellular carcinoma.",Belgium - FPS Health-DGM,Completed,Regensburg University Medical Center,Non-Commercial,Germany,NA,2006-04-24
2005-005362-36,"A PROSPECTIVE RANDOMISED, OPEN-LABELED, TRIAL COMPARING SIROLIMUS-CONTAINING VERSUS mTOR-INHIBITOR-FREE IMMUNOSUPRESSION IN PATIENTS UNDERGOING LIVER TRANSPLANTATION FOR HEPATOCELLULAR CARCINOMA",Norway - NOMA,Completed,Regensburg University Hospital,Non-Commercial,Germany,NA,2006-05-03
2005-005362-36,"A PROSPECTIVE RANDOMISED, OPEN-LABELED, TRIAL COMPARING SIROLIMUS-CONTAINING VERSUS mTOR-INHIBITOR-FREE IMMUNOSUPRESSION IN PATIENTS UNDERGOING LIVER TRANSPLANTATION FOR HEPATOCELLULAR CARCINOMA",Austria - BASG,Completed,Regensburg University Hospital,Non-Commercial,Germany,NA,2006-05-08
2005-005362-36,"ENSAYO PROSPECTIVO, ALEATORIZADO Y ABIERTO QUE COMPARA LA INMUNOSUPRESIÓN CON SIROLIMUS FRENTE A LA INMUNOSUPRESIÓN SIN INHIBIDORES DEL mTOR EN PACIENTES QUE SE SOMEN A TRASPLANTE DE HIGADO DEBIDO A UN CARCINOMA HEPATOCELULAR",Spain - AEMPS,Completed,Regensburg University Medical Center,Non-Commercial,Germany,NA,2006-05-25
2005-005362-36,"A PROSPECTIVE RANDOMISED, OPEN-LABELED, TRIAL COMPARING SIROLIMUS-CONTAINING VERSUS MTOR-INHIBITOR-FREE IMMUNOSUPPRESSION IN PATIENTS UNDERGOING LIVER TRANSPLANTATION FOR HEPATOCELLULAR CARCINOMA",Italy - Italian Medicines Agency,Completed,REGENSBURG UNIVERSITY MEDICAL CENTRE,Non-Commercial,Germany,NA,2007-02-22
2012-004555-36,A prospective randomized controlled multicentre trial comparing half-dose photodynamic therapy (PDT) with high-density subthreshold micropulse laser treatment in patients with chronic central serous chorioretinopathy (CSC).,France - ANSM,Completed,Centre Hospitalier Intercommunal de Créteil,Non-Commercial,France,Centre Hospitalier de CRETEIL,2015-06-18
2010-021414-32,"A PHASE 2 MULTICENTER, RANDOMIZED, DOUBLE-BLIND, PLACEBO CONTROLLED STUDY OF THE SAFETY AND EFFICACY OF PF-03049423 IN SUBJECTS WITH ISCHEMIC STROKE",Hungary - National Institute of Pharmacy,Prematurely Ended,"Pfizer Limited, Ramsgate Road, Sandwich, Kent, CT13 9NJ, UK",Commercial,United Kingdom,Pfizer Ltd,2010-09-17
2010-021414-32,"A PHASE 2 MULTICENTER, RANDOMIZED, DOUBLE-BLIND, PLACEBO CONTROLLED STUDY OF THE SAFETY AND EFFICACY OF PF-03049423 IN SUBJECTS WITH ISCHEMIC STROKE",Germany - BfArM,Prematurely Ended,"Pfizer Limited, Ramsgate Road, Sandwich, Kent, CT13 9NJ, UK",Commercial,United Kingdom,Pfizer Ltd,2010-10-12
2010-021414-32,"A PHASE 2 MULTICENTER, RANDOMIZED, DOUBLE-BLIND, PLACEBO CONTROLLED STUDY OF THE SAFETY AND EFFICACY OF PF-03049423 IN SUBJECTS WITH ISCHEMIC STROKE",Bulgarian Drug Agency,Prematurely Ended,"Pfizer Limited, Ramsgate Road, Sandwich, Kent, CT13 9NJ, UK",Commercial,United Kingdom,Pfizer Ltd,2011-01-04
2010-021414-32,"A PHASE 2 MULTICENTER, RANDOMIZED, DOUBLE-BLIND, PLACEBO CONTROLLED STUDY OF THE SAFETY AND EFFICACY OF PF-03049423 IN SUBJECTS WITH ISCHEMIC STROKE",Czech Republic - SUKL,Prematurely Ended,Pfizer Limited,Commercial,United Kingdom,Pfizer Ltd,2012-01-30
2012-000108-13,A phase II multicenter trial with Rivaroxaban in the treatment of livedoid vasculopathy assessing the pain on a visual analog scale (VAS),Germany - BfArM,Completed,Universitätsklinikum Münster,Non-Commercial,Germany,Bayer Vital GmbH,2012-11-09
2012-000108-13,A phase II multicenter trial with Rivaroxaban in the treatment of livedoid vasculopathy assessing the pain on a visual analog scale (VAS),Germany - BfArM,Completed,Universitätsklinikum Münster,Non-Commercial,Germany,Bayer Vital GmbH,2012-11-09
2006-002061-39,"A Phase IIa, Multicenter, Randomized, Third-Party Unblinded, Adjuvant and Placebo-Controlled, Multiple Ascending Dose, Safety, Tolerability, and Immunogenicity Trial of ACC-001 and QS-21 Adjuvant in Subjects with Mild to Moderate Alzheimer’s Disease",Germany - PEI,Completed,"Wyeth Pharmaceuticals Inc, a wholly owned subsidiary of Pfizer Inc, 500 Arcola Road, Collegeville, PA 19426 USA",Commercial,United States,"Wyeth Pharmaceuticals Inc, a wholly owned subsidiary of Pfizer Inc, 500 Arcola Road, Collegeville, PA 19426 USA",2006-08-18
2006-002061-39,"Phase IIa, Multicenter, Randomized, Third-Party Unblinded, Adjuvant-Controlled, Multiple Ascending Dose, Safety, Tolerability, and Immunogenicity Trial of ACC-001 with QS-21 adjuvant in Subjects with Mild to Moderate Alzheimer’s Disease",France - ANSM,Completed,"Wyeth Research Division of Wyeth Pharmaceuticals Inc., Clinical Research and Development",Commercial,United States,NA,2006-10-30
2006-002061-39,"A Phase IIa, Multicenter, Randomized, Third-Party Unblinded, Adjuvant-Controlled, Multiple Ascending Dose, Safety, Tolerability, and Immunogenicity Trial of ACC-001 with QS-21 Adjuvant in Subjects with Mild to Moderate Alzheimer’s Disease",Spain - AEMPS,Completed,"Wyeth Research Division of Wyeth Pharmaceuticals Inc., Clinical Research and Development",Commercial,United States,NA,2010-03-11
2007-005994-79,"Ensayo de fase III, multicéntrico, aleatorizado, en doble ciego, controlado con placebo y de grupos paralelos, sobre la eficacia y la seguridad del bapineuzumab (AAB-001, ELN115727) en pacientes con enfermedad de Alzheimer de grado leve a moderado que no son portadores de la apolipoproteína E (ApoE) e4",Spain - AEMPS,Prematurely Ended,"Wyeth Research Division of Wyeth Pharmaceuticals Inc., Clinical Research and Development",Commercial,United States,NA,2008-02-25
2007-005994-79,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Efficacy and Safety Trial of Bapineuzumab (AAB-001, ELN115727) in Subjects With Mild to Moderate Alzheimer Disease Who Are Apolipoprotein E ε4 Non-carriers",Ireland - HPRA,Prematurely Ended,"Wyeth Research Division of Wyeth Pharmaceuticals Inc., Clinical Research and Development",Commercial,United States,NA,2008-03-04
2007-005994-79,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Efficacy and Safety Trial of Bapineuzumab (AAB-001, ELN115727) in Subjects With Mild to Moderate Alzheimer Disease Who Are Apolipoprotein E ε4 Non-carriers",UK - MHRA,Prematurely Ended,"Wyeth Pharmaceuticals Inc, a wholly owned subsidiary of Pfizer Inc, 500 Arcola road, Collegeville, PA 19426 USA",Commercial,United States,"Wyeth, a Pfizer company",2008-03-07
2007-005994-79,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Efficacy and Safety Trial of Bapineuzumab (AAB-001, ELN115727) in Subjects With Mild to Moderate Alzheimer Disease Who Are Apolipoprotein E ε4 Non-carriers",Belgium - FPS Health-DGM,Completed,"Wyeth Research Division of Wyeth Pharmaceuticals Inc., Clinical Research and Development",Commercial,United States,NA,2008-03-14
2007-005994-79,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Efficacy and Safety Trial of Bapineuzumab (AAB-001, ELN115727) in Subjects With Mild to Moderate Alzheimer Disease Who Are Apolipoprotein E ε4 Non-carriers",Germany - PEI,Prematurely Ended,"Wyeth, a Pfizer company",Commercial,United States,"Wyeth Research Pharmaceuticals Inc., acting throught its division Wyeth Research, a Pfizer company",2008-03-25
2007-005994-79,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Efficacy and Safety Trial of Bapineuzumab (AAB-001, ELN115727) in Subjects With Mild to Moderate Alzheimer Disease Who Are Apolipoprotein E ε4 Non-carriers",France - ANSM,Completed,"Wyeth Research Division of Wyeth Pharmaceuticals Inc., Clinical Research and Development",Commercial,United States,NA,2008-03-27
2007-005994-79,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Efficacy and Safety Trial of Bapineuzumab (AAB-001, ELN115727) in Subjects With Mild to Moderate Alzheimer Disease Who Are Apolipoprotein E ε4 Non-carriers",Finland - Fimea,Prematurely Ended,"Wyeth Pharmaceuticals Inc, a wholly owned subsidiary of Pfizer Inc, 500 Arcola road, Collegeville, PA 19426 USA",Commercial,United States,"Wyeth, a Pfizer company",2008-04-01
2007-005994-79,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Efficacy and Safety Trial of Bapineuzumab (AAB-001, ELN115727) in Subjects With Mild to Moderate Alzheimer Disease Who Are Apolipoprotein E ε4 Non-carriers",Sweden - MPA,Prematurely Ended,"Wyeth Pharmaceuticals Inc, a wholly owned subsidiary of Pfizer Inc, 500 Arcola road, Collegeville, PA 19426 USA",Commercial,United States,"Wyeth, a Pfizer company",2008-04-03
2007-005994-79,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Efficacy and Safety Trial of Bapineuzumab (AAB-001, ELN115727) in Subjects With Mild to Moderate Alzheimer Disease Who Are Apolipoprotein E &#949;4 Non-Carriers",Italy - Italian Medicines Agency,Prematurely Ended,Wyeth Research Division of Wyeth Pharmaceuticals Inc.,Commercial,United States,NA,2008-04-23
2007-005994-79,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Efficacy and Safety Trial of Bapineuzumab (AAB-001, ELN115727) in Subjects With Mild to Moderate Alzheimer Disease Who Are Apolipoprotein E ε4 Non-carriers",Slovakia - SIDC (Slovak),Completed,"Wyeth Pharmaceuticals Inc, a wholly owned subsidiary of Pfizer Inc, 500 Arcola road, Collegeville, PA 19426 USA",Commercial,United States,"Wyeth, a Pfizer company",2008-04-24
2007-005994-79,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Efficacy and Safety Trial of Bapineuzumab (AAB-001, ELN115727) in Subjects With Mild to Moderate Alzheimer Disease Who Are Apolipoprotein E ε4 Non-carriers",Portugal - INFARMED,Prematurely Ended,"Wyeth Pharmaceuticals Inc, a wholly owned subsidiary of Pfizer Inc, 500 Arcola road, Collegeville, PA 19426 USA",Commercial,United States,"Wyeth, a Pfizer company",2008-04-24
2007-005994-79,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Efficacy and Safety Trial of Bapineuzumab (AAB-001, ELN115727) in Subjects With Mild to Moderate Alzheimer Disease Who Are Apolipoprotein E ε4 Non-carriers",Austria - BASG,Prematurely Ended,"Wyeth Pharmaceuticals Inc, a wholly owned subsidiary of Pfizer Inc, 500 Arcola road, Collegeville, PA 19426 USA",Commercial,United States,"Wyeth, a Pfizer company",2008-05-08
2007-005994-79,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Efficacy and Safety Trial of Bapineuzumab (AAB-001, ELN115727) in Subjects With Mild to Moderate Alzheimer Disease Who Are Apolipoprotein E ε4 Non-carriers",Netherlands - Competent Authority,Prematurely Ended,"Wyeth Pharmaceuticals Inc, a wholly owned subsidiary of Pfizer Inc, 500 Arcola road, Collegeville, PA 19426 USA",Commercial,United States,"Wyeth, a Pfizer company",2008-06-02
2007-005994-79,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Efficacy and Safety Trial of Bapineuzumab (AAB-001, ELN115727) in Subjects With Mild to Moderate Alzheimer Disease Who Are Apolipoprotein E ε4 Non-carriers",Denmark - DHMA,Prematurely Ended,"Wyeth Research Division of Wyeth Pharmaceuticals Inc., Clinical Research and Development",Commercial,United States,NA,2008-07-31
2007-005995-14,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Efficacy and Safety Trial of Bapineuzumab (AAB-001, ELN115727) in Subjects With Mild to Moderate Alzheimer Disease Who Are Apolipoprotein E ε4 Carriers",UK - MHRA,Completed,"Wyeth Pharmaceuticals Inc, a wholly owned subsidiary of Pfizer Inc, 500 Arcola road, Collegeville, PA 19426 USA",Commercial,United States,"Wyeth, a Pfizer company",2008-02-22
2007-005995-14,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Efficacy and Safety Trial of Bapineuzumab (AAB-001, ELN115727) in Subjects With Mild to Moderate Alzheimer Disease Who Are Apolipoprotein E ε4 Carriers",Ireland - HPRA,Prematurely Ended,"Wyeth Research Division of Wyeth Pharmaceuticals Inc., Clinical Research and Development",Commercial,United States,NA,2008-03-05
2007-005995-14,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Efficacy and Safety Trial of Bapineuzumab (AAB-001, ELN115727) in Subjects With Mild to Moderate Alzheimer Disease Who Are Apolipoprotein E ε4 Carriers",Belgium - FPS Health-DGM,Prematurely Ended,"Wyeth Pharmaceuticals Inc, a wholly owned subsidiary of Pfizer Inc, 500 Arcola road, Collegeville, PA 19426 USA",Commercial,United States,"Wyeth, a Pfizer company",2008-03-14
